,Land,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio
144,Equatorial Guinea,57.981,42.357,38.577,6.433,NaN,24.944,NaN
145,Zambia,66.091,48.839,40.327,11.425,23,63.993,1.0344556902504756
146,Myanmar,60.693,48.889,34.964,1.577,9.9,17.088,0.26052002887839204
147,Angola,72.157,50.38,41.498,6.886,18.72365,53.323,1.485406637274733
148,Congo,62.87,34.13,44.014,9.472,14.12474,59.005,NaN
149,Zimbabwe,78.982,66.544,26.873,4.954,27.9,43.144,0.5175880479933623
150,Solomon Islands,83.353,37.593,52.861,0.576,17.86,49.053,4.985787429378531
151,Syrian Arab Republic,40.422,10.729,62.719,8.37,NaN,53.838,1.6415886531699133
152,Cameroon,73.501,43.437,41.612,3.38,38.9,33.593,1.706378043922579
153,Pakistan,50.232,36.661,38.013,4.453,12.8,27.232,0.7239641567233207
154,Papua New Guinea,46.032,58.316,35.049,2.459,NaN,44.796,0.25243145951852924
155,Comoros,41.405,50.375,36.594,4.336,28.47181,29.309,4.86106680843523
156,Mauritania,41.503,51.274,35.785,9.548,14,15.937,9.947053666478803
157,Benin,69.285,38.578,42.429,2.232,24.8,67.495,NaN
158,Uganda,69.04,72.666,20.731,1.843,18.1,65.45,0.7525913569272515
159,Rwanda,82.793,62.406,28.702,1.03,19,74.211,0.16755604734067972
160,Nigeria,48.623,35.098,52.669,8.096,31.48,61.978,6.679361094347214
161,Côte d'Ivoire,55.064,40.049,46.783,3.317,22.1,48.175,1.0962669022294467
162,Tanzania (United Republic of),81.761,65.306,27.943,1.98,24.8,68.542,0.31900180652126026
163,Madagascar,84.613,64.222,26.791,1.758,NaN,85.319,0.07966717088760662
164,Lesotho,51.996,8.536,49.241,23.405,13.9,60.631,0.24126661508436015
165,Djibouti,54.041,33.122,53.808,10.295,NaN,NaN,NaN
166,Togo,76.011,37.699,49.419,2.038,22.62,61.649,1.8892141951837769
167,Senegal,42.667,30.046,56.45,6.604,22.84003,59.954,0.4532506945220736
168,Afghanistan,43.456,42.839,38.999,11.118,21.39,66.288,0.3878653217582694
169,Haiti,57.926,28.659,64.654,13.781,35.50205,40.13,NaN
170,Sudan,40.43,39.939,43.842,16.535,18.11,21.502,NaN
