,model,country_code,country,region,income group,scraped_date,model_en,price_local_currency,Currency CodeA,X,USD_Normalized,USD_Normalized_MEAN,Land,HDI,Life expactancy at birth in years,Mean years of schooling in years,Gross national income (GNI) per capita in US$,IHDI,Inequality in life expectancy in%,Inequality in education in %,Inequality in income in %,Income Shares of top 1%,Income Shares of top 1%,GINI,Gender Inequality Index,Maternal mortality ratio per 100.000,Share of female seats in parliament in %,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio,Prison population per 100.000,Homocide rate per 100.000,Suicide rate (female) per 100.000,Suicide rate (male) per 100.000,Internet User in %,Mobile phone subscriptions per 100 people
156,AirPods Pro,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,AirPods Pro,2999.0,BRL,5.660699844360352,529.7931496911724,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
157,AirPods(2ª geração),BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,AirPods(2nd generation),1649.0,BRL,5.660699844360352,291.30673685920084,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
158,Apple TV 4K,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,Apple TV 4K,2399.0,BRL,5.660699844360352,423.79918843251835,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
159,Apple Watch SE,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,Apple Watch SE,3799.0,BRL,5.660699844360352,671.1184313693777,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
160,Apple Watch Series 3,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,Apple Watch Series 3,2599.0,BRL,5.660699844360352,459.1305088520697,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
161,Pulseira esportiva,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,Sport Band,549.0,BRL,5.660699844360352,96.98447455166844,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
162,iPad,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,iPad,3999.0,BRL,5.660699844360352,706.4497517889291,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
163,iPad Pro,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,iPad Pro,10799.0,BRL,5.660699844360352,1907.7146460536749,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
164,Apple Pencil (2ª geração),BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,Apple Pencil (2nd generation),1599.0,BRL,5.660699844360352,282.47390675431296,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
165,iMac de 24 polegadas²,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,24-inch iMac,17599.0,BRL,5.660699844360352,3108.9795403184203,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
166,MacBook Air,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,MacBook Air,12999.0,BRL,5.660699844360352,2296.3591706687394,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
167,Magic Mouse,BR,Brazil,Latin America & Caribbean,Upper middle income,2022-01-02 21:52:09.264138,Magic Mouse,899.0,BRL,5.660699844360352,158.8142852858833,899.5101812243347,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
168,iPhone SE,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,iPhone SE,569.0,CAD,1.274399995803833,446.4846216835562,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
169,iPhone 12,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,iPhone 12,799.0,CAD,1.274399995803833,626.9617095345543,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
170,AirPods Pro,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,AirPods Pro,329.0,CAD,1.274399995803833,258.16070392599295,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
171,AirPods(2nd generation),CA,Canada,North America,High income,2022-01-02 21:52:10.367290,AirPods(2nd generation),179.0,CAD,1.274399995803833,140.45825532751593,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
172,Apple TV 4K,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Apple TV 4K,229.0,CAD,1.274399995803833,179.6924048603416,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
173,Apple Watch SE,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Apple Watch SE,369.0,CAD,1.274399995803833,289.5480235522535,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
174,Apple Watch Series 3,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Apple Watch Series 3,249.0,CAD,1.274399995803833,195.38606467347188,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
175,Sport Band,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Sport Band,59.0,CAD,1.274399995803833,46.296296448734296,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
176,iPad,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,iPad,429.0,CAD,1.274399995803833,336.6290029916443,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
177,iPad Pro,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,iPad Pro,999.0,CAD,1.274399995803833,783.898307665857,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
178,Apple Pencil (2nd generation),CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Apple Pencil (2nd generation),169.0,CAD,1.274399995803833,132.61142542095078,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
179,24-inch iMac²,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,24-inch iMac,1599.0,CAD,1.274399995803833,1254.7081020597652,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
180,MacBook Air,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,MacBook Air,1299.0,CAD,1.274399995803833,1019.3032048628111,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
181,Magic Mouse,CA,Canada,North America,High income,2022-01-02 21:52:10.367290,Magic Mouse,89.0,CAD,1.274399995803833,69.83678616842971,412.8553506554199,Canada,0.929,82.43,13.36610479,48527.03573,0.848,4.6,2.671,18.06,25.1,13.62,33.8,0.08,10,33.18284424,61.451,1.452,79.073,5.564,NaN,NaN,5.469992972593113,107.7,1.755921136,5.8,15.1,91,89.231
182,iPhone SE,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,iPhone SE,3655.0,DKK,6.583499908447266,555.1758260542059,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
183,iPhone 12,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,iPhone 12,5355.0,DKK,6.583499908447266,813.3971404980227,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
184,AirPods Pro,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,AirPods Pro,2199.0,DKK,6.583499908447266,334.0168649776194,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
185,AirPods(2. generation),DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,AirPods(2nd generation),1129.0,DKK,6.583499908447266,171.48933176886416,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
186,Apple TV 4K,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Apple TV 4K,1499.0,DKK,6.583499908447266,227.69044138310662,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
187,Apple Watch SE,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Apple Watch SE,2299.0,DKK,6.583499908447266,349.2063540625498,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
188,Apple Watch Series 3,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Apple Watch Series 3,1699.0,DKK,6.583499908447266,258.0694195529674,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
189,Sportsrem,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Sport Band,369.0,DKK,6.583499908447266,56.04921472339316,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
190,iPad,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,iPad,2855.0,DKK,6.583499908447266,433.6599133747628,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
191,iPad Pro,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,iPad Pro,6755.0,DKK,6.583499908447266,1026.0499876870483,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
192,Apple Pencil (2. generation),DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Apple Pencil (2nd generation),1099.0,DKK,6.583499908447266,166.93248504338504,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
193,"24"" iMac²",DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,24-inch iMac,11555.0,DKK,6.583499908447266,1755.1454637637073,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
194,MacBook Air,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,MacBook Air,8755.0,DKK,6.583499908447266,1329.8397693856562,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
195,Magic Mouse,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Magic Mouse,679.0,DKK,6.583499908447266,103.13663088667738,541.4184887972833,Denmark,0.94,80.9,12.61380326,58661.87084,0.883,3.6,2.90482,11.38334,24,10.71,28.7,0.038,4,39.10614525,59.162,2.186,79.346,4.913,NaN,NaN,4.699038258756264,63.2,1.008321959,5.2,13.2,97.6443,125.119
196,iPhone SE,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,iPhone SE,174990.0,HUF,323.5899963378906,540.7769151716191,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
197,iPhone 12,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,iPhone 12,249990.0,HUF,323.5899963378906,772.5516945182756,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
198,AirPods Pro,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,AirPods Pro,99990.0,HUF,323.5899963378906,309.0021358249625,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
199,AirPods(2. generáció),HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,AirPods(2nd generation),52990.0,HUF,323.5899963378906,163.75660743439107,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
200,Apple TV 4K,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Apple TV 4K,71990.0,HUF,323.5899963378906,222.4728848688774,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
201,Apple Watch SE,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Apple Watch SE,109990.0,HUF,323.5899963378906,339.90543973785003,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
202,Apple Watch Series 3,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Apple Watch Series 3,77990.0,HUF,323.5899963378906,241.01486721660993,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
203,Sportszíj,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Sport Band,17990.0,HUF,323.5899963378906,55.595043739284684,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
204,iPad,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,iPad,134990.0,HUF,323.5899963378906,417.1636995200689,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
205,iPad Pro,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,iPad Pro,324990.0,HUF,323.5899963378906,1004.3264738649322,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
206,Apple Pencil (második generáció),HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Apple Pencil (2nd generation),49990.0,HUF,323.5899963378906,154.4856162605248,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
207,24 hüvelykes iMac²,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,24-inch iMac,539990.0,HUF,323.5899963378906,1668.7475079920143,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
208,MacBook Air,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,MacBook Air,429990.0,HUF,323.5899963378906,1328.8111649502514,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
209,Magic Mouse,HU,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188,Magic Mouse,34990.0,HUF,323.5899963378906,108.1306603911935,523.3386222493468,Hungary,0.854,76.88,11.96329,31328.80599,0.791,4.2,3.11063,14.46582,23.9,12.13,30.6,0.233,12,12.56281407,54.548,4.7,62.605,3.399,NaN,NaN,3.74385130202858,174.6,2.487198635,6.2,22.2,76.0744,103.445
210,iPhone SE,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,iPhone SE,39900.0,INR,74.50800323486328,535.5129418007308,522.6667666841361,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
211,iPhone 12,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,iPhone 12,59900.0,INR,74.50800323486328,803.9404815504705,522.6667666841361,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
212,AirPods Pro,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,AirPods Pro,24900.0,INR,74.50800323486328,334.19228698842596,522.6667666841361,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
213,AirPods(2nd generation),IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,AirPods(2nd generation),12900.0,INR,74.50800323486328,173.13576313858212,522.6667666841361,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
214,Apple TV 4K,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,Apple TV 4K,18900.0,INR,74.50800323486328,253.66402506350406,522.6667666841361,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
215,Apple Watch SE,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,Apple Watch SE,29900.0,INR,74.50800323486328,401.2991719258609,522.6667666841361,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
216,Apple Watch Series 3,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,Apple Watch Series 3,20900.0,INR,74.50800323486328,280.50677903847804,522.6667666841361,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
217,Sport Band,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,Sport Band,3900.0,INR,74.50800323486328,52.34337025119925,522.6667666841361,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
218,iPad,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,iPad,30900.0,INR,74.50800323486328,414.7205489133479,522.6667666841361,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
219,iPad Pro,IN,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688,iPad Pro,71900.0,INR,74.50800323486328,964.9970054003144,522.6667666841361,India,0.645,69.66,6.5,6681.346904,0.475,19.7,38.7,18.79302,31.7,21.340001,37.8,0.488,133,13.48600509,46.653,42.385,32.038,5.355,NaN,42.375,0.6301881529043267,32.7,3.079232442,14.5,18.5,34.45,86.9426
