,pid,model,price,country_code,country,region,income group,scraped_date,model_en,price2,price_local_currency
86,1,iPhone SE,Ab 479 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,iPhone SE,479,479.0
87,2,iPhone 12,Ab 679 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,iPhone 12,679,679.0
89,4,AirPods Pro,279 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,AirPods Pro,279,279.0
90,5,AirPods(2. Generation),149 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,AirPods(2nd generation),149,149.0
92,7,Apple TV 4K,199 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Apple TV 4K,199,199.0
93,8,Apple Watch SE,Ab 299 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Apple Watch SE,299,299.0
94,9,Apple Watch Series 3,Ab 219 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Apple Watch Series 3,219,219.0
95,10,Sportarmband,49 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Sport Band,49,49.0
96,11,iPad,Ab 379 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,iPad,379,379.0
97,12,iPad Pro,Ab 879 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,iPad Pro,879,879.0
98,13,Apple Pencil (2. Generation),135 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Apple Pencil (2nd generation),135,135.0
99,14,"24"" iMac²",Ab 1.449 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,24-inch iMac,1.449,1449.0
100,15,MacBook Air,Ab 1.129 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,MacBook Air,1.129,1129.0
101,16,Magic Mouse,85 €,DE,Germany,Europe & Central Asia,High income,2022-01-02 21:52:14.030932,Magic Mouse,85,85.0
103,1,iPhone SE,Fra 3.655 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,iPhone SE,3.655.,3655.0
104,2,iPhone 12,Fra 5.355 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,iPhone 12,5.355.,5355.0
106,4,AirPods Pro,2.199 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,AirPods Pro,2.199.,2199.0
107,5,AirPods(2. generation),1.129 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,AirPods(2nd generation),1.129.,1129.0
109,7,Apple TV 4K,1.499 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Apple TV 4K,1.499.,1499.0
110,8,Apple Watch SE,Fra 2.299 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Apple Watch SE,2.299.,2299.0
111,9,Apple Watch Series 3,Fra 1.699 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Apple Watch Series 3,1.699.,1699.0
112,10,Sportsrem,369 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Sport Band,369.,369.0
113,11,iPad,Fra 2.855 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,iPad,2.855.,2855.0
114,12,iPad Pro,Fra 6.755 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,iPad Pro,6.755.,6755.0
115,13,Apple Pencil (2. generation),1.099 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Apple Pencil (2nd generation),1.099.,1099.0
116,14,"24"" iMac²",Fra 11.555 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,24-inch iMac,11.555.,11555.0
117,15,MacBook Air,Fra 8.755 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,MacBook Air,8.755.,8755.0
118,16,Magic Mouse,679 kr.,DK,Denmark,Europe & Central Asia,High income,2022-01-02 21:52:15.114080,Magic Mouse,679.,679.0
120,1,iPhone SE,Desde 489 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,iPhone SE,489,489.0
121,2,iPhone 12,Desde 689 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,iPhone 12,689,689.0
123,4,AirPods Pro,279 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,AirPods Pro,279,279.0
124,5,AirPods(2.ª generación),149 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,AirPods(2nd generation),149,149.0
126,7,Apple TV 4K,199 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,Apple TV 4K,199,199.0
128,9,Apple Watch SE,Desde 299 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,Apple Watch SE,299,299.0
129,10,Apple Watch Series 3,Desde 219 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,Apple Watch Series 3,219,219.0
130,11,Correa deportiva,49 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,Sport Band,49,49.0
131,12,iPad,Desde 379 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,iPad,379,379.0
132,13,iPad Pro,Desde 879 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,iPad Pro,879,879.0
133,14,Apple Pencil (2.ª generación),135 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,Apple Pencil (2nd generation),135,135.0
134,15,iMac de 24 pulgadas²,Desde 1.449 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,24-inch iMac,1.449,1449.0
135,16,MacBook Air,Desde 1.129 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,MacBook Air,1.129,1129.0
136,17,Magic Mouse,85 €,ES,Spain,Europe & Central Asia,High income,2022-01-02 21:52:16.456271,Magic Mouse,85,85.0
138,1,iPhone SE,Alkaen 499 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,iPhone SE,499,499.0
139,2,iPhone 12,Alkaen 709 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,iPhone 12,709,709.0
141,4,AirPods Pro,279 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,AirPods Pro,279,279.0
142,5,AirPods(2. sukupolvi),149 €,FI,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048,AirPods(2nd generation),149,149.0
