,Land,HDI,Life expactancy at birth in years,Mean years of schooling in years,Gross national income (GNI) per capita in US$,IHDI,Inequality in life expectancy in%,Inequality in education in %,Inequality in income in %,Income Shares of top 1%,Income Shares of top 1%,GINI,Gender Inequality Index,Maternal mortality ratio per 100.000,Share of female seats in parliament in %,Employment to population ratio,Employment in agriculture in % ,Employment in services in %,Unemployment in %,Child labour in %,Working poor at PPP$3.20 a day in %,High-skill to low-skill ratio,Prison population per 100.000,Homocide rate per 100.000,Suicide rate (female) per 100.000,Suicide rate (male) per 100.000,Internet User in %,Mobile phone subscriptions per 100 people
53,Turkey,0.82,77.69,8.10682,27700.89481,0.683,9,16.5,24.09507,32.6,23.44,41.9,0.306,17,17.44966443,45.702,18.376,55.316,13.49,NaN,0.395,1.6020588685799175,321.6,2.590475672,3.2,11.3,71.0428,97.3013
54,Uruguay,0.817,77.91,8.92573,20063.64222,0.712,7.9,6.526061455,23.357915,29.7,14,39.7,0.288,17,20.93023256,58.431,8.119,72.967,8.731,4.2,0.1,1.2255924712065063,297,12.06045302,7.1,26.8,68.2797,149.904
55,Bulgaria,0.816,75.05,11.36009,23324.6574,0.721,6.1,6.09875,21.79482,31.9,12.630001,40.4,0.206,10,25.83333333,52.964,6.393,63.464,4.34,NaN,NaN,2.613773404443336,94.3,1.304666594,3.2,13.1,64.782,118.117
56,Panama,0.815,78.51,10.24,29557.66834,0.643,12,11.37222672,36.912765,37.1,NaN,49.2,0.407,52,21.12676056,63.991,13.952,67.3,3.902,2.6,2.306,1.2907783135838513,396.5,9.385022462,1.2,7.6,57.8651,130.068
57,Bahamas,0.814,73.92,11.43692,33747.21264,NaN,6.8,6.3,NaN,NaN,NaN,NaN,0.341,70,21.81818182,66.835,2.138,83.646,10.36,NaN,0.19,2.0380527210884356,460.6,31.95817147,0.5,2.8,85,98.9508
58,Barbados,0.814,79.19,10.64244442,14935.90942,0.676,8.7,5.5,33.6,NaN,NaN,NaN,0.252,27,29.41176471,58.488,2.63,78.331,10.331,1.35401,0.348,1.8090909090909089,296.2,9.768350544,0.3,0.8,81.7608,122.573
59,Oman,0.813,77.86,9.731845912,25944.07218,0.706,6.7,11.9488,20.1,NaN,19.490001,NaN,0.306,19,9.88372093,70.436,4.56,62.688,2.671,NaN,0.229,NaN,NaN,0.269180342,0.9,4.8,80.1856,133.366
60,Georgia,0.812,73.77,13.13296,14428.79984,0.716,7.9,4.1406,22.52352,27.5,NaN,36.4,0.331,25,14.76510067,58.492,41.818,44.306,14.398,1.6,12.103,3.8644372718133235,239.2,2.223362494,1.9,12.3,63.9686,133.398
61,Costa Rica,0.81,80.28,8.74194,18486.37141,0.661,7.1,11.58937058,33.91643,36.3,NaN,48,0.288,27,45.61403509,54.737,12.109,68.135,11.854,1.7,0.693,0.936581135560272,287.4,11.2612545,2.3,12.8,74.0868,169.931
62,Malaysia,0.81,76.16,10.37283,27534.09856,NaN,6.1,12.1,NaN,31.3,14.55,41,0.253,29,15.51724138,62.152,10.361,62.642,3.324,NaN,0.046,2.1991031880570895,178.1,2.127665134,3.6,8.7,81.2017,134.526
63,Kuwait,0.806,75.49,7.275667996,58590.08219,NaN,5.9,22.10817735,NaN,NaN,19.930001,NaN,0.242,12,4.615384615,71.889,2.011,73.605,2.182,NaN,0.627,0.8239669602080282,147.9,NaN,1.7,2.5,99.6,178.591
64,Serbia,0.806,76.0,11.19411,17191.66873,0.705,4.9,7.47189,23.971,25.6,12.800001,36.2,0.132,12,37.65182186,47.915,15.459,57.399,12.686,6.95,0.223,3.08818752686209,156.4,1.226890579,5.2,17.3,73.3607,97.5831
65,Mauritius,0.804,74.99,9.54,25266.21195,0.694,9.4,13.2,18.2,29.9,13.81,36.8,0.347,61,20,54.421,6.072,68.642,6.674,NaN,0.481,1.5578084012050815,193.1,2.919860099,2.2,12.5,58.5962,151.359
66,Seychelles,0.796,73.4,9.992045,26903.24617,0.67,9.6,6.65648,29.3,39.9,20.370001,46.8,NaN,53,21.21212121,NaN,NaN,NaN,NaN,NaN,NaN,2.3439599937490234,393.8,12.53774383,2.1,15,58.7698,184.298
67,Trinidad and Tobago,0.796,73.51,11.034,26230.71569,NaN,14.9,NaN,NaN,NaN,NaN,NaN,0.323,67,32.87671233,58.347,2.975,70.299,2.686,0.75954,0.568,1.6741433249785032,287.7,30.64950684,4.3,21.9,77.3261,140.057
68,Albania,0.795,78.57,10.14573,13998.29989,0.708,7.2,12.3,13.17898,24.8,8.2099997,33.2,0.181,15,29.50819672,48.86,36.691,43.304,12.331,3.3,0.835,3.3977287694086313,184.4,2.289492444,4.3,7,71.847,94.177
69,Cuba,0.783,78.8,11.7907808,8620.716216,NaN,5.1,7.81109,NaN,NaN,NaN,NaN,0.304,36,53.2231405,52.703,17.508,65.614,1.638,NaN,0.82,3.9831556717618666,NaN,5.046268637,4.1,16.4,57.1484,47.3915
70,Iran (Islamic Republic of),0.783,76.68,10.34749,12446.66645,0.693,9.2,5,19.7,31.3,16.26,40.8,0.459,16,5.882352941,39.581,17.949,51.473,11.382,NaN,0.693,1.4654164539369847,293.4,2.499168375,3.1,4.9,70.0046,108.462
71,Sri Lanka,0.782,76.98,10.63257,12707.36624,0.673,7,11.99693,22.36351,32.9,NaN,39.8,0.401,36,5.333333333,51.652,24.517,45.826,4.198,NaN,6.719,1.0021560245064671,97.5,2.421243634,6.2,23.3,34.1133,115.061
72,Bosnia and Herzegovina,0.78,77.4,9.81787,14871.81114,0.667,5.4,17,20.2,25.1,8.9500003,33,0.149,10,21.05263158,37.847,15.383,52.353,18.425,NaN,0.145,2.195154135196612,84.1,1.17331026,2.5,10.6,70.1201,104.126
73,Grenada,0.779,72.4,9.032104,15640.88574,NaN,11.2,NaN,NaN,NaN,NaN,NaN,NaN,25,39.28571429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,414.4,10.82309649,1,2.1,59.0717,102.077
74,Mexico,0.779,75.05,8.75461,19159.83967,0.613,10.5,18.38918256,33.388511,36.4,NaN,45.4,0.322,33,48.40764331,58.602,12.609,61.247,3.425,4.7,8.269,0.9650490678892981,155.6,29.07106163,2.3,8.2,65.7726,93.0078
75,Saint Kitts and Nevis,0.779,74.76,8.662745,25037.50727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.33333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,423.1,NaN,NaN,NaN,80.7102,147.714
76,Ukraine,0.779,72.07,11.39749842,13215.9357,0.728,7.4,3.6,8.5,22,NaN,26.1,0.234,19,20.51886792,49.341,14.478,60.955,8.882,3.2084,0.123,1.969219453006751,128.3,6.183730571,4.7,34.5,58.8895,122.551
77,Antigua and Barbuda,0.778,77.02,9.293740746,20895.35881,NaN,5.8,NaN,NaN,NaN,NaN,NaN,NaN,42,31.42857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,317.7,NaN,0.9,0,76,192.82
78,Peru,0.777,76.74,9.69633,12252.30018,0.628,10.8,16.96786,28.57682,32.1,NaN,42.8,0.395,88,30,75.063,27.386,57.268,3.31,14.5,9.47,0.4310114041490969,284.3,7.909223863,2.7,7.6,52.5403,123.76
79,Thailand,0.777,77.15,7.9391,17781.19093,0.646,7.9,18.3,23.8,28.1,20.23,36.4,0.359,37,14.13333333,66.818,31.615,45.75,0.754,NaN,0.125,1.1902333306634272,527.6,2.582003648,4.8,21.4,56.8175,180.183
80,Armenia,0.776,75.09,11.30174,13894.01302,0.699,8.7,2.9,17.4,29.2,NaN,34.4,0.245,26,23.48484848,46.173,29.638,53.187,16.99,4.1,6.197,2.530983998873821,76.8,1.693915557,2,10.1,64.7449,121.259
81,North Macedonia,0.774,75.8,9.812715,15864.63074,0.681,7.9,8.36817,19.15726,23.8,7.66,34.2,0.143,7,39.16666667,45.309,15.377,53.221,17.759,7.56379,0.082,2.3348630643967434,108.3,1.200216807,3,9.7,79.1678,98.4558
82,Colombia,0.767,77.29,8.46873,14256.67085,0.595,10.7,18.595,35.52712,39.7,20.45,50.4,0.428,83,19.56521739,62.095,16.613,63.395,9.707,3.6,5.189,1.2009229754372959,234.6,25.3438026,2.8,11.5,62.2599,129.909
83,Brazil,0.765,75.88,7.9813,14262.93459,0.57,10.9,21.189,40.961673,42.5,28.349999,53.9,0.408,60,14.98316498,56.165,9.221,70.996,12.083,5.4,3.841,1.3843161980349057,344.2,27.38253029,2.8,9.7,67.4713,98.8435
84,China,0.761,76.91,8.06,16057.39642,0.639,7.9,11.7,27.4,29.3,13.92,38.5,0.168,29,24.94117647,65.05,25.363,46.436,4.32,NaN,5.207,NaN,110.4,0.527090789,8.3,7.9,54.3,114.955
85,Ecuador,0.759,77.01,8.907169486,11043.98255,0.616,11.5,13.89604924,29.896735,34.4,NaN,45.4,0.384,59,37.95620438,65.338,29.202,52.477,3.968,NaN,7.813,0.5265469490061477,219.5,5.800627346,3.8,10.7,57.2722,92.3233
86,Saint Lucia,0.759,76.2,8.508470732,14615.56978,0.629,10.6,12.6,27.4,38.6,NaN,51.2,0.401,117,20.68965517,53.209,17.274,64.478,20.706,3.31453,NaN,1.3655566413590918,291.2,21.4415306,2.1,12.7,50.8152,101.68
87,Azerbaijan,0.756,73.01,10.57543,13783.67995,0.684,13.9,5.3,8.9,NaN,NaN,NaN,0.323,26,16.80672269,62.838,35.87,49.273,5.509,NaN,0.06,1.5057592485349516,219.7,2.201107449,1,4.3,79.8,103.921
88,Dominican Republic,0.756,74.08,8.123720269,17591.06522,0.595,17,15.82688819,30.369914,35.2,NaN,43.7,0.455,95,24.32432432,60.562,9.021,71.118,5.845,7,2.843,0.8802543314771875,245.4,10.04973395,3.2,17.9,74.8243,84.1021
89,Moldova (Republic of),0.75,71.9,11.70817,13663.60669,0.672,9.6,7.3,14,22,9.9299997,25.7,0.204,19,25.74257426,40.728,35.931,47.22,5.473,NaN,0.348,2.254949551848109,172.5,4.096792902,3.8,24.1,76.1245,88.014
90,Algeria,0.748,76.88,7.986547848,11173.95681,0.596,14.1,33.7,11.4,22.9,9.7,27.6,0.429,112,21.54882155,36.333,9.856,59.41,11.704,4.26,1.268,0.8420016141909877,149.2,1.364276397,1.8,4.9,59.5797,121.932
